Timestamp(ms),Acc_X(g),Acc_Y(g),Acc_Z(g),Acc_Total(g),Gyro_X(deg/s),Gyro_Y(deg/s),Gyro_Z(deg/s),Pitch(deg),Roll(deg)
26210,1.0415,-0.0166,0.0425,1.0425,33.9024,3.9634,7.3171,-67.64,46.86
27740,0.9629,0.2808,0.1372,1.0123,-14.6951,24.6341,-14.2073,-74.25,72.53
27750,0.9736,0.2666,0.1567,1.0216,-11.0366,25.9756,-15.7317,-74.25,72.53
27760,0.9785,0.2261,0.1553,1.0162,-9.0854,26.4634,-17.1951,-73.83,71.13
27770,0.9634,0.2109,0.1440,0.9967,-9.8171,26.3415,-17.9268,-73.83,71.13
27780,0.9492,0.2642,0.1411,0.9953,-13.1098,26.5244,-18.7805,-73.73,69.50
27790,0.9692,0.2891,0.1240,1.0190,-16.3415,27.6829,-20.6098,-73.73,69.50
27800,0.9780,0.2969,0.1372,1.0313,-14.8171,29.8780,-21.7073,-73.31,69.08
27820,0.9604,0.2666,0.1660,1.0105,-3.9634,35.4268,-24.3293,-73.31,69.08
27830,0.9541,0.2441,0.1680,0.9991,-2.5000,37.2561,-25.4268,-72.80,68.27
27840,0.9707,0.2388,0.1772,1.0152,-2.0732,39.3902,-26.5244,-72.80,68.27
27850,0.9766,0.2480,0.1875,1.0249,0.7317,41.4634,-26.8902,-72.46,66.77
27860,0.9761,0.2539,0.2017,1.0285,5.1220,44.3293,-26.9512,-72.46,66.77
27870,0.9873,0.2544,0.2139,1.0417,7.8049,47.6220,-27.3171,-71.98,65.29
27880,0.9814,0.2515,0.2197,1.0367,6.7683,49.3902,-26.4024,-71.98,65.29
27890,0.9663,0.2422,0.2241,1.0211,3.5366,51.1585,-24.2073,-71.45,63.71
27900,0.9604,0.2378,0.2266,1.0151,-1.5854,52.9878,-22.0122,-71.45,63.71
27910,0.9629,0.2412,0.2173,1.0161,-8.2927,54.8781,-19.5732,-70.94,61.96
27920,0.9751,0.2446,0.2031,1.0256,-14.5122,57.8659,-16.4634,-70.94,61.96
27930,0.9966,0.2524,0.1826,1.0442,-20.7317,60.9146,-13.4756,-70.52,60.67
27940,1.0308,0.2524,0.1538,1.0723,-28.5976,62.7439,-10.5488,-70.52,60.67
27950,1.0718,0.2393,0.1138,1.1040,-38.5976,61.8293,-7.6220,-70.31,60.21
27960,1.1377,0.2271,0.0918,1.1638,-50.7317,55.7317,-4.4512,-70.31,60.21
27970,1.3281,0.1250,0.0308,1.3343,-64.5732,43.1707,-1.8902,-70.56,60.53
27980,1.4839,-0.0317,-0.1855,1.4958,-86.1585,17.2561,2.9878,-70.56,60.53
27990,1.2720,0.2104,-0.3521,1.3365,-119.2683,-23.2317,9.2073,-71.62,36.67
28000,1.0186,0.5815,-0.3188,1.2154,-129.3293,-40.9756,3.6585,-71.62,36.67
28010,1.0908,0.5483,-0.2036,1.2377,-112.6220,-38.2927,-2.8049,-70.52,43.71
28020,1.1025,0.4043,-0.0522,1.1755,-91.7073,-38.7195,-3.2927,-70.52,43.71
28030,1.0044,0.3340,0.0854,1.0619,-81.9512,-44.5122,-4.2073,-70.79,48.25
28040,0.9893,0.3013,0.1592,1.0463,-82.9268,-48.3537,-7.6829,-70.79,48.25
28050,1.0034,0.3315,0.1533,1.0678,-84.7561,-52.7439,-9.4512,-71.25,48.90
28060,0.9683,0.3955,0.0889,1.0497,-81.2195,-57.9268,-8.8415,-71.25,48.90
28070,0.9297,0.4668,0.0498,1.0415,-72.0732,-61.4024,-8.9634,-71.37,51.01
28080,0.9102,0.5405,0.0410,1.0594,-59.6341,-63.1707,-9.9390,-71.37,51.01
28090,0.8892,0.5791,0.0493,1.0623,-44.1463,-63.7195,-12.0122,-70.73,53.94
28100,0.8955,0.5767,0.0562,1.0666,-28.1098,-62.9878,-14.0244,-70.73,53.94
28110,0.9023,0.5601,0.0425,1.0629,-12.4390,-63.2317,-16.1585,-69.93,56.73
28120,0.8950,0.5244,-0.0112,1.0374,0.1220,-66.0366,-18.8415,-69.93,56.73
28130,0.8672,0.5293,-0.0229,1.0162,8.9024,-70.9756,-21.2195,-69.49,60.18
28140,0.8252,0.5522,-0.0254,0.9933,16.1585,-75.0610,-23.7195,-69.49,60.18
28150,0.8291,0.5464,-0.0244,0.9932,25.0610,-75.6707,-25.6098,-68.84,63.58
28160,0.8857,0.4951,-0.0088,1.0148,35.6707,-73.9024,-27.6829,-68.84,63.58
28170,0.9272,0.4458,0.0117,1.0289,46.4634,-72.3781,-29.3902,-68.70,66.64
28180,0.9683,0.4077,0.0264,1.0509,54.8781,-72.8659,-31.7683,-68.70,66.64
28190,1.0322,0.3892,0.0117,1.1032,57.8049,-75.1220,-35.7317,-69.20,69.10
28200,1.0801,0.4111,-0.0156,1.1558,56.2195,-81.2195,-39.5122,-69.20,69.10
28210,1.1099,0.4463,-0.0513,1.1973,53.2317,-89.4512,-42.4390,-69.92,71.91
28220,1.1064,0.5078,-0.0435,1.2182,58.8415,-93.5366,-44.0244,-69.92,71.91
28230,1.0405,0.5894,0.0347,1.1963,75.1829,-92.0122,-44.3293,-70.30,74.74
28240,0.9897,0.5908,0.1230,1.1592,92.4390,-87.3781,-45.8537,-70.30,74.74
28250,0.9819,0.5645,0.1646,1.1445,104.4512,-81.7073,-48.2317,-69.92,75.92
28260,0.9902,0.5693,0.1509,1.1522,109.7561,-80.0610,-50.1829,-69.92,75.92
28270,1.0107,0.6284,0.1060,1.1949,112.5610,-80.1829,-51.7683,-69.57,76.83
28280,0.9780,0.7378,0.0874,1.2282,122.3171,-76.5244,-52.2561,-69.57,76.83
28290,0.9282,0.7969,0.1230,1.2295,140.6098,-72.5610,-50.4878,-68.58,78.58
28300,0.8994,0.7749,0.1685,1.1991,166.3415,-61.5244,-49.0244,-68.58,78.58
28310,0.8701,0.7002,0.2246,1.1392,191.0366,-49.5732,-48.1707,-67.14,79.99
28330,0.6816,0.5952,0.3291,0.9629,221.4025,-24.5122,-49.8171,-67.14,79.99
28340,0.6401,0.5781,0.2998,0.9132,222.3171,-18.1098,-52.8659,-65.60,80.42
